target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,start_time_mjd,block_number,ra_hr
82_28_dither,2026-07-19 02:05:38.123,2026-07-19 02:07:18.123,1.666666666666714,206.88585073877067,-24.545454545454543,{'dither': True},61240.087246793984,5,13.792390049251381
86_30_dither,2026-07-19 02:07:18.123,2026-07-19 02:08:58.123,1.666666666666714,209.57894313165903,-19.870129870129876,{'dither': True},61240.088404201386,5,13.971929542110605
88_30_dither,2026-07-19 02:08:58.123,2026-07-19 02:10:38.123,1.666666666666714,214.51044998097413,-19.870129870129876,{'dither': True},61240.089561608795,5,14.300696665398277
90_30_dither,2026-07-19 02:10:38.123,2026-07-19 02:12:18.123,1.666666666666714,219.4419568302892,-19.870129870129876,{'dither': True},61240.0907190162,5,14.62946378868595
92_30_dither,2026-07-19 02:12:18.123,2026-07-19 02:13:58.123,1.666666666666714,224.37346367960427,-19.870129870129876,{'dither': True},61240.09187642361,5,14.95823091197362
94_30_dither,2026-07-19 02:13:58.123,2026-07-19 02:15:38.123,1.666666666666714,229.30497052891937,-19.870129870129876,{'dither': True},61240.09303383102,5,15.286998035261295
98_32_dither,2026-07-19 02:15:38.123,2026-07-19 02:17:18.123,1.666666666666714,234.30267210104404,-15.194805194805197,{'dither': True},61240.09419123842,5,15.620178140069605
96_32_dither,2026-07-19 02:17:18.123,2026-07-19 02:18:58.123,1.666666666666714,229.47045733594337,-15.194805194805197,{'dither': True},61240.09534864583,5,15.298030489062894
94_32_dither,2026-07-19 02:18:58.123,2026-07-19 02:20:38.123,1.666666666666714,224.63824257084264,-15.194805194805197,{'dither': True},61240.09650605324,5,14.97588283805618
92_32_dither,2026-07-19 02:20:38.123,2026-07-19 02:22:18.123,1.666666666666714,219.806027805742,-15.194805194805197,{'dither': True},61240.09766346065,5,14.653735187049469
90_32_dither,2026-07-19 02:22:18.123,2026-07-19 02:23:58.123,1.666666666666714,214.97381304064132,-15.194805194805197,{'dither': True},61240.09882086806,5,14.331587536042758
